checkpoint,train_noise,test_noise,cv_mean,cv_std,test_accuracy
0,0,0,0.7178666666666667,0.0031067131613115714,0.9964333333333333
0,0,5,0.7178666666666667,0.0031067131613115714,0.43401666666666666
0,0,15,0.7178666666666667,0.0031067131613115714,0.19075
0,0,30,0.7178666666666667,0.0031067131613115714,0.13375
0,0,50,0.7178666666666667,0.0031067131613115714,0.12823333333333334
20000,0,0,0.73525,0.004267447845154184,0.9995166666666667
20000,0,15,0.73525,0.004267447845154184,0.5439166666666667
20000,0,30,0.73525,0.004267447845154184,0.41081666666666666
20000,0,50,0.73525,0.004267447845154184,0.30635
40000,0,0,0.7408,0.003014594131517161,0.9998333333333334
40000,0,15,0.7408,0.003014594131517161,0.54605
40000,0,30,0.7408,0.003014594131517161,0.4114833333333333
40000,0,50,0.7408,0.003014594131517161,0.3077
60000,0,0,0.7365666666666668,0.004742947981535927,0.9997333333333334
60000,0,5,0.7365666666666668,0.004742947981535927,0.7006
60000,0,15,0.7365666666666668,0.004742947981535927,0.5482833333333333
60000,0,30,0.7365666666666668,0.004742947981535927,0.4151
60000,0,50,0.7365666666666668,0.004742947981535927,0.3159
