checkpoint,noise_level,cv_mean,cv_std,train_score
0,0,0.7894833333333333,0.003101254226563494,0.8605
0,5,0.74695,0.004778598120788149,0.8208333333333333
0,15,0.6465,0.005227863383405845,0.7184166666666667
0,30,0.5699333333333333,0.003994231952314338,0.6705333333333333
0,50,0.49448333333333333,0.00661404230070806,0.5971166666666666
20000,0,0.79945,0.001821629307332683,0.8681833333333333
20000,5,,,
20000,15,0.7681500000000001,0.005381656085464992,0.8549166666666667
20000,30,0.7286166666666667,0.0069738798383683085,0.83095
20000,50,0.6553666666666667,0.0030653076698940324,0.7515666666666667
40000,0,0.8022166666666667,0.00391279950930278,0.877
40000,5,,,
40000,15,0.7710166666666667,0.004103995343293867,0.8502333333333333
40000,30,0.7252333333333334,0.0036996246055812725,0.8178
40000,50,0.6557499999999999,0.0037039768417802543,0.7422
60000,0,0.7962666666666667,0.005452675184408736,0.8725
60000,5,0.7949666666666667,0.005029523944779546,0.8702
60000,15,0.7711166666666667,0.0039167021274990645,0.8634166666666667
60000,30,0.7263666666666666,0.009692007016093193,0.8124
60000,50,0.6555833333333333,0.0066637493616998646,0.7434833333333334
